#,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,318,45,49,49,65,65,45,1,FALSE
2,405,60,62,63,80,80,60,1,FALSE
3,525,80,82,83,100,100,80,1,FALSE
3,625,80,100,123,122,120,80,1,FALSE
4,309,39,52,43,60,50,65,1,FALSE
5,405,58,64,58,80,65,80,1,FALSE
6,534,78,84,78,109,85,100,1,FALSE
6,634,78,130,111,130,85,100,1,FALSE
6,634,78,104,78,159,115,100,1,FALSE
7,314,44,48,65,50,64,43,1,FALSE
8,405,59,63,80,65,80,58,1,FALSE
9,530,79,83,100,85,105,78,1,FALSE
9,630,79,103,120,135,115,78,1,FALSE
10,195,45,30,35,20,20,45,1,FALSE
11,205,50,20,55,25,25,30,1,FALSE
12,395,60,45,50,90,80,70,1,FALSE
13,195,40,35,30,20,20,50,1,FALSE
14,205,45,25,50,25,25,35,1,FALSE
15,395,65,90,40,45,80,75,1,FALSE
15,495,65,150,40,15,80,145,1,FALSE
16,251,40,45,40,35,35,56,1,FALSE
17,349,63,60,55,50,50,71,1,FALSE
18,479,83,80,75,70,70,101,1,FALSE
18,579,83,80,80,135,80,121,1,FALSE
19,253,30,56,35,25,35,72,1,FALSE
20,413,55,81,60,50,70,97,1,FALSE
21,262,40,60,30,31,31,70,1,FALSE
22,442,65,90,65,61,61,100,1,FALSE
23,288,35,60,44,40,54,55,1,FALSE
24,438,60,85,69,65,79,80,1,FALSE
25,320,35,55,40,50,50,90,1,FALSE
26,485,60,90,55,90,80,110,1,FALSE
27,300,50,75,85,20,30,40,1,FALSE
28,450,75,100,110,45,55,65,1,FALSE
29,275,55,47,52,40,40,41,1,FALSE
30,365,70,62,67,55,55,56,1,FALSE
31,505,90,92,87,75,85,76,1,FALSE
32,273,46,57,40,40,40,50,1,FALSE
33,365,61,72,57,55,55,65,1,FALSE
34,505,81,102,77,85,75,85,1,FALSE
35,323,70,45,48,60,65,35,1,FALSE
36,483,95,70,73,95,90,60,1,FALSE
37,299,38,41,40,50,65,65,1,FALSE
38,505,73,76,75,81,100,100,1,FALSE
39,270,115,45,20,45,25,20,1,FALSE
40,435,140,70,45,85,50,45,1,FALSE
41,245,40,45,35,30,40,55,1,FALSE
42,455,75,80,70,65,75,90,1,FALSE
43,320,45,50,55,75,65,30,1,FALSE
44,395,60,65,70,85,75,40,1,FALSE
45,490,75,80,85,110,90,50,1,FALSE
46,285,35,70,55,45,55,25,1,FALSE
47,405,60,95,80,60,80,30,1,FALSE
48,305,60,55,50,40,55,45,1,FALSE
49,450,70,65,60,90,75,90,1,FALSE
50,265,10,55,25,35,45,95,1,FALSE
51,405,35,80,50,50,70,120,1,FALSE
52,290,40,45,35,40,40,90,1,FALSE
53,440,65,70,60,65,65,115,1,FALSE
54,320,50,52,48,65,50,55,1,FALSE
55,500,80,82,78,95,80,85,1,FALSE
56,305,40,80,35,35,45,70,1,FALSE
57,455,65,105,60,60,70,95,1,FALSE
58,350,55,70,45,70,50,60,1,FALSE
59,555,90,110,80,100,80,95,1,FALSE
60,300,40,50,40,40,40,90,1,FALSE
61,385,65,65,65,50,50,90,1,FALSE
62,510,90,95,95,70,90,70,1,FALSE
63,310,25,20,15,105,55,90,1,FALSE
64,400,40,35,30,120,70,105,1,FALSE
65,500,55,50,45,135,95,120,1,FALSE
65,590,55,50,65,175,95,150,1,FALSE
66,305,70,80,50,35,35,35,1,FALSE
67,405,80,100,70,50,60,45,1,FALSE
68,505,90,130,80,65,85,55,1,FALSE
69,300,50,75,35,70,30,40,1,FALSE
70,390,65,90,50,85,45,55,1,FALSE
71,490,80,105,65,100,70,70,1,FALSE
72,335,40,40,35,50,100,70,1,FALSE
73,515,80,70,65,80,120,100,1,FALSE
74,300,40,80,100,30,30,20,1,FALSE
75,390,55,95,115,45,45,35,1,FALSE
76,495,80,120,130,55,65,45,1,FALSE
77,410,50,85,55,65,65,90,1,FALSE
78,500,65,100,70,80,80,105,1,FALSE
79,315,90,65,65,40,40,15,1,FALSE
80,490,95,75,110,100,80,30,1,FALSE
80,590,95,75,180,130,80,30,1,FALSE
81,325,25,35,70,95,55,45,1,FALSE
82,465,50,60,95,120,70,70,1,FALSE
83,352,52,65,55,58,62,60,1,FALSE
84,310,35,85,45,35,35,75,1,FALSE
85,460,60,110,70,60,60,100,1,FALSE
86,325,65,45,55,45,70,45,1,FALSE
87,475,90,70,80,70,95,70,1,FALSE
88,325,80,80,50,40,50,25,1,FALSE
89,500,105,105,75,65,100,50,1,FALSE
90,305,30,65,100,45,25,40,1,FALSE
91,525,50,95,180,85,45,70,1,FALSE
92,310,30,35,30,100,35,80,1,FALSE
93,405,45,50,45,115,55,95,1,FALSE
94,500,60,65,60,130,75,110,1,FALSE
94,600,60,65,80,170,95,130,1,FALSE
95,385,35,45,160,30,45,70,1,FALSE
96,328,60,48,45,43,90,42,1,FALSE
97,483,85,73,70,73,115,67,1,FALSE
98,325,30,105,90,25,25,50,1,FALSE
99,475,55,130,115,50,50,75,1,FALSE
100,330,40,30,50,55,55,100,1,FALSE
101,480,60,50,70,80,80,140,1,FALSE
102,325,60,40,80,60,45,40,1,FALSE
103,520,95,95,85,125,65,55,1,FALSE
104,320,50,50,95,40,50,35,1,FALSE
105,425,60,80,110,50,80,45,1,FALSE
106,455,50,120,53,35,110,87,1,FALSE
107,455,50,105,79,35,110,76,1,FALSE
108,385,90,55,75,60,75,30,1,FALSE
109,340,40,65,95,60,45,35,1,FALSE
110,490,65,90,120,85,70,60,1,FALSE
111,345,80,85,95,30,30,25,1,FALSE
112,485,105,130,120,45,45,40,1,FALSE
113,450,250,5,5,35,105,50,1,FALSE
114,435,65,55,115,100,40,60,1,FALSE
115,490,105,95,80,40,80,90,1,FALSE
115,590,105,125,100,60,100,100,1,FALSE
116,295,30,40,70,70,25,60,1,FALSE
117,440,55,65,95,95,45,85,1,FALSE
118,320,45,67,60,35,50,63,1,FALSE
119,450,80,92,65,65,80,68,1,FALSE
120,340,30,45,55,70,55,85,1,FALSE
121,520,60,75,85,100,85,115,1,FALSE
122,460,40,45,65,100,120,90,1,FALSE
123,500,70,110,80,55,80,105,1,FALSE
124,455,65,50,35,115,95,95,1,FALSE
125,490,65,83,57,95,85,105,1,FALSE
126,495,65,95,57,100,85,93,1,FALSE
127,500,65,125,100,55,70,85,1,FALSE
127,600,65,155,120,65,90,105,1,FALSE
128,490,75,100,95,40,70,110,1,FALSE
129,200,20,10,55,15,20,80,1,FALSE
130,540,95,125,79,60,100,81,1,FALSE
130,640,95,155,109,70,130,81,1,FALSE
131,535,130,85,80,85,95,60,1,FALSE
132,288,48,48,48,48,48,48,1,FALSE
133,325,55,55,50,45,65,55,1,FALSE
134,525,130,65,60,110,95,65,1,FALSE
135,525,65,65,60,110,95,130,1,FALSE
136,525,65,130,60,95,110,65,1,FALSE
137,395,65,60,70,85,75,40,1,FALSE
138,355,35,40,100,90,55,35,1,FALSE
139,495,70,60,125,115,70,55,1,FALSE
140,355,30,80,90,55,45,55,1,FALSE
141,495,60,115,105,65,70,80,1,FALSE
142,515,80,105,65,60,75,130,1,FALSE
142,615,80,135,85,70,95,150,1,FALSE
143,540,160,110,65,65,110,30,1,FALSE
144,580,90,85,100,95,125,85,1,TRUE
145,580,90,90,85,125,90,100,1,TRUE
146,580,90,100,90,125,85,90,1,TRUE
147,300,41,64,45,50,50,50,1,FALSE
148,420,61,84,65,70,70,70,1,FALSE
149,600,91,134,95,100,100,80,1,FALSE
150,680,106,110,90,154,90,130,1,TRUE
150,780,106,190,100,154,100,130,1,TRUE
150,780,106,150,70,194,120,140,1,TRUE
151,600,100,100,100,100,100,100,1,FALSE
152,318,45,49,65,49,65,45,2,FALSE
153,405,60,62,80,63,80,60,2,FALSE
154,525,80,82,100,83,100,80,2,FALSE
155,309,39,52,43,60,50,65,2,FALSE
156,405,58,64,58,80,65,80,2,FALSE
157,534,78,84,78,109,85,100,2,FALSE
158,314,50,65,64,44,48,43,2,FALSE
159,405,65,80,80,59,63,58,2,FALSE
160,530,85,105,100,79,83,78,2,FALSE
161,215,35,46,34,35,45,20,2,FALSE
162,415,85,76,64,45,55,90,2,FALSE
163,262,60,30,30,36,56,50,2,FALSE
164,442,100,50,50,76,96,70,2,FALSE
165,265,40,20,30,40,80,55,2,FALSE
166,390,55,35,50,55,110,85,2,FALSE
167,250,40,60,40,40,40,30,2,FALSE
168,390,70,90,70,60,60,40,2,FALSE
169,535,85,90,80,70,80,130,2,FALSE
170,330,75,38,38,56,56,67,2,FALSE
171,460,125,58,58,76,76,67,2,FALSE
172,205,20,40,15,35,35,60,2,FALSE
