X,Y,Z
50,54,47
15,52,46
13,14,58
88,38,64
75,83,67
18,92,79
20,47,51
10,84,86
6,35,41
38,41,57
13,86,82
12,30,36
19,5,24
61,89,22
76,78,1
42,78,38
28,3,80
73,59,20
85,29,22
92,32,38
45,91,18
97,57,18
57,83,36
36,56,11
38,97,23
5,55,99
55,93,20
9,82,7
75,54,36
85,61,44
62,31,16
84,42,65
69,30,8
54,61,83
71,6,44
4,17,93
3,12,33
75,6,89
65,48,76
31,43,71
33,94,60
80,73,44
24,75,75
5,94,83
79,1,68
82,95,15
58,92,81
66,40,34
77,95,17
17,11,93
96,53,53
97,31,97
37,48,59
86,31,31
41,24,86
100,52,64
23,75,20
46,85,97
52,11,17
51,61,30
95,17,70
97,9,53
76,19,63
96,72,58
96,6,31
82,64,3
32,21,23
10,61,13
65,96,78
55,84,75
69,46,87
34,81,47
67,19,71
53,67,61
58,42,26
68,96,48
23,87,18
16,31,78
86,56,87
94,46,100
39,92,91
25,60,35
46,48,7
57,58,71
1,59,96
93,30,41
66,79,6
3,1,34
82,49,18
42,29,83
93,50,87
91,38,33
35,35,65
28,52,26
83,30,92
6,15,89
97,78,4
77,63,40
20,41,93
70,84,38
94,47,58
73,86,90
46,19,26
4,58,25
75,34,70
51,31,83
46,2,67
49,47,56
38,11,26
16,56,15
100,96,17
69,9,19
22,38,15
61,18,25
64,51,8
54,90,17
38,45,76
29,52,1
44,55,53
90,28,3
36,41,43
33,31,54
27,33,40
33,33,11
72,16,11
45,45,69
69,96,97
65,99,95
23,81,78
82,71,86
34,66,20
58,8,41
32,6,8
68,91,38
71,34,100
94,4,43
46,23,33
65,47,70
32,60,65
11,34,58
30,71,26
35,18,62
59,77,80
61,78,52
9,41,2
75,34,29
94,21,57
44,81,90
29,59,94
76,85,19
50,39,73
63,59,25
3,47,18
22,26,70
68,8,41
34,59,88
83,33,25
37,24,15
18,66,34
99,2,15
75,24,12
1,10,4
27,75,76
92,91,8
56,13,99
41,33,72
56,86,44
17,95,77
35,14,55
6,54,50
56,83,84
78,100,22
27,63,58
55,52,54
81,61,27
61,55,42
39,22,11
57,32,2
24,99,49
18,46,7
15,35,59
75,80,9
38,15,65
50,31,74
94,66,15
89,22,57
46,64,83
4,67,45
94,16,45
62,67,60
16,87,41
77,58,8
73,25,67
51,21,25
49,96,25
70,46,99
75,89,56
44,55,85
28,45,52
26,5,10
58,51,20
13,90,84
58,67,27
39,16,43
27,68,39
58,75,87
12,30,36
94,85,28
73,25,69
99,1,44
8,70,29
95,44,99
62,72,97
31,28,92
20,34,83
80,38,53
39,34,85
61,15,8
32,34,11
10,74,82
77,23,63
57,72,2
44,48,73
13,69,79
78,27,51
72,94,64
5,93,7
40,30,75
53,52,48
61,27,39
20,27,53
50,70,16
42,8,70
62,38,2
43,10,4
8,26,65
34,77,97
41,87,9
23,13,18
36,58,37
93,57,42
58,33,86
34,28,36
79,14,43
33,100,17
14,59,93
96,61,64
39,13,82
56,54,53
6,9,42
45,20,63
31,50,4
57,85,69
34,11,4
36,59,45
40,58,10
6,43,28
63,64,36
8,88,2
69,73,85
59,56,46
20,69,100
11,99,80
67,62,83
80,67,49
18,3,74
22,22,23
64,60,33
63,9,3
56,19,72
66,17,25
36,11,36
9,88,25
83,59,97
88,13,80
41,5,37
32,64,52
95,46,6
34,41,5
4,9,62
24,62,100
60,96,27
47,9,39
67,25,97
51,96,25
12,36,23
74,36,82
27,30,26
10,78,36
56,23,79
26,39,62
17,46,48
53,10,53
20,90,37
39,89,75
48,84,57
72,33,25
93,7,28
13,21,80
49,22,95
54,69,94
87,61,75
86,63,10
76,73,79
16,57,93
89,62,22
82,78,59
99,96,58
7,22,71
65,70,18
18,96,81
75,64,31
20,71,9
55,24,50
5,79,79
16,42,47
37,67,54
92,46,17
57,52,47
58,86,21
11,2,9
46,82,84
54,34,59
81,32,94
51,84,38
12,36,44
54,24,97
40,1,90
5,43,30
58,78,84
29,64,52
65,61,77
58,2,80
54,80,12
42,10,29
85,13,4
41,1,32
73,31,31
60,54,68
60,42,60
36,64,67
53,25,97
61,81,68
92,67,31
3,44,80
6,45,19
91,38,52
18,57,18
46,46,47
89,10,30
94,43,18
14,17,2
89,90,38
14,25,80
11,48,27
84,71,22
45,11,60
70,34,20
25,11,89
70,10,98
73,9,77
59,22,40
9,37,6
7,58,69
93,70,74
23,96,78
18,3,68
42,70,83
86,56,63
19,73,7
64,11,69
32,96,61
29,45,64
19,12,72
18,88,1
90,83,93
15,22,95
34,38,17
83,4,99
92,95,38
24,95,18
52,9,72
99,69,97
1,31,47
23,53,44
56,67,4
40,75,22
1,81,63
12,80,34
44,46,39
88,85,80
3,37,30
32,68,2
48,75,11
22,72,44
10,30,15
79,66,2
87,95,55
16,83,70
38,23,10
95,15,85
88,43,48
17,1,50
19,60,49
21,21,60
71,83,29
3,12,3
50,39,27
39,58,86
26,51,47
37,63,93
78,53,89
5,12,53
81,7,70
25,49,81
95,12,68
94,70,39
39,8,5
97,49,38
4,94,80
26,30,36
32,62,82
98,31,25
12,72,63
3,56,6
16,85,59
7,40,17
70,95,55
75,68,40
100,46,99
88,74,77
11,23,96
96,87,70
48,99,93
54,41,68
46,62,90
6,44,57
49,33,22
48,92,7
16,48,65
16,28,13
99,60,55
7,46,15
29,63,54
36,90,34
81,10,84
94,64,80
14,4,69
23,49,92
75,73,8
2,16,17
49,57,8
22,14,77
15,14,26
100,86,72
27,28,43
26,14,82
68,6,38
86,66,82
15,91,36
16,50,51
23,85,17
13,61,21
76,37,9
49,44,20
17,4,2
47,86,13
94,30,61
98,88,1
74,11,16
26,52,1
84,41,38
26,25,23
88,24,20
34,86,52
65,28,78
48,41,9
13,3,37
22,15,59
16,56,63
31,36,23
26,74,2
17,85,13
31,87,52
82,68,78
10,7,70
48,76,28
60,28,84
77,58,18
65,88,25
42,9,93
23,47,7
58,90,34
35,63,45
21,56,60
88,21,47
17,38,24
52,31,90
84,22,37
86,31,87
27,62,46
75,48,93
32,33,13
3,37,43
94,72,12
88,88,94
83,84,46
76,96,96
27,1,49
65,78,94
96,8,15
54,13,69
24,38,75
9,22,43
48,75,95
90,21,24
2,22,41
30,43,22
87,70,56
30,87,10
3,93,46
34,35,20
16,87,54
89,35,75
40,28,31
71,64,15
27,64,89
81,16,75
39,46,29
28,81,31
54,23,29
79,64,57
43,17,40
66,46,18
20,44,65
86,54,83
88,38,34
85,18,19
49,15,15
16,60,47
81,19,87
41,48,37
60,32,92
95,2,87
25,78,25
16,92,28
38,99,3
52,21,44
93,76,53
98,49,82
85,13,67
61,28,48
46,60,38
28,65,8
95,68,73
43,7,70
12,39,17
32,29,31
49,19,41
28,54,37
42,83,70
68,57,45
78,58,82
75,1,89
83,45,87
40,15,54
39,26,9
80,16,28
100,47,17
10,41,49
100,81,42
89,24,42
13,89,43
40,14,98
89,54,91
88,40,26
24,54,12
2,60,61
86,58,13
48,67,62
98,96,37
11,43,76
53,95,60
37,7,6
54,17,17
35,29,84
51,9,56
21,9,36
83,70,47
88,82,48
98,17,68
74,78,83
36,70,70
95,29,1
58,3,60
49,8,82
35,25,78
7,28,85
21,4,12
93,26,16
39,10,72
59,90,44
95,95,89
57,19,47
10,67,81
4,96,71
22,68,2
76,16,92
11,32,89
87,57,22
25,49,65
50,76,2
6,62,53
100,52,35
55,76,60
14,28,35
9,36,32
99,43,55
95,40,78
66,3,70
7,43,15
90,97,89
57,45,68
92,80,92
3,3,67
75,18,37
76,31,79
12,72,19
29,78,40
88,60,56
3,76,12
56,87,28
49,85,75
72,63,44
22,80,60
82,28,18
83,67,85
26,8,61
70,96,76
13,84,45
97,45,11
7,92,17
49,39,95
13,15,39
47,80,91
54,97,72
91,22,61
57,46,30
90,82,91
45,13,30
97,78,99
11,71,98
55,80,32
5,60,18
90,15,44
90,58,95
89,22,29
89,83,65
26,50,100
58,15,68
90,78,57
24,89,99
41,60,9
56,54,37
70,17,13
23,75,52
32,29,70
